"label","exposure_spline","mean","rr"
"cvd_ihd_90",0,1,1
"cvd_ihd_90",0.01,1.00007199173696,1.00007199173696
"cvd_ihd_90",0.02,1.0001439656263,1.0001439656263
"cvd_ihd_90",0.03,1.00021592167091,1.00021592167091
"cvd_ihd_90",0.04,1.0002878598737,1.0002878598737
"cvd_ihd_90",0.05,1.00035978023759,1.00035978023759
"cvd_ihd_90",0.06,1.00043168276547,1.00043168276547
"cvd_ihd_90",0.07,1.00050356746026,1.00050356746026
"cvd_ihd_90",0.08,1.00057543432485,1.00057543432485
"cvd_ihd_90",0.09,1.00064728336217,1.00064728336217
"cvd_ihd_90",0.1,1.00071911457511,1.00071911457511
"cvd_ihd_90",0.11,1.00079092796658,1.00079092796658
"cvd_ihd_90",0.12,1.00086272353949,1.00086272353949
"cvd_ihd_90",0.13,1.00093450129674,1.00093450129674
"cvd_ihd_90",0.14,1.00100626124125,1.00100626124125
"cvd_ihd_90",0.15,1.00107800337592,1.00107800337592
"cvd_ihd_90",0.16,1.00114972770365,1.00114972770365
"cvd_ihd_90",0.17,1.00122143422736,1.00122143422736
"cvd_ihd_90",0.18,1.00129312294994,1.00129312294994
"cvd_ihd_90",0.19,1.00136479387432,1.00136479387432
"cvd_ihd_90",0.2,1.00143644700338,1.00143644700338
"cvd_ihd_90",0.21,1.00150808234005,1.00150808234005
"cvd_ihd_90",0.22,1.00157969988723,1.00157969988723
"cvd_ihd_90",0.23,1.00165129964782,1.00165129964782
"cvd_ihd_90",0.24,1.00172288162473,1.00172288162473
"cvd_ihd_90",0.25,1.00179444582087,1.00179444582087
"cvd_ihd_90",0.26,1.00186599223915,1.00186599223915
"cvd_ihd_90",0.27,1.00193752088247,1.00193752088247
"cvd_ihd_90",0.28,1.00200903175374,1.00200903175374
"cvd_ihd_90",0.29,1.00208052485586,1.00208052485586
"cvd_ihd_90",0.3,1.00215200019175,1.00215200019175
"cvd_ihd_90",0.31,1.0022234577643,1.0022234577643
"cvd_ihd_90",0.32,1.00229489757644,1.00229489757644
"cvd_ihd_90",0.33,1.00236631963105,1.00236631963105
"cvd_ihd_90",0.34,1.00243772393106,1.00243772393106
"cvd_ihd_90",0.35,1.00250911047937,1.00250911047937
"cvd_ihd_90",0.36,1.00258047927888,1.00258047927888
"cvd_ihd_90",0.37,1.0026518303325,1.0026518303325
"cvd_ihd_90",0.38,1.00272316364314,1.00272316364314
"cvd_ihd_90",0.39,1.00279447921371,1.00279447921371
"cvd_ihd_90",0.4,1.0028657770471,1.0028657770471
"cvd_ihd_90",0.41,1.00293705714624,1.00293705714624
"cvd_ihd_90",0.42,1.00300831951402,1.00300831951402
"cvd_ihd_90",0.43,1.00307956415336,1.00307956415336
"cvd_ihd_90",0.44,1.00315079106715,1.00315079106715
"cvd_ihd_90",0.45,1.00322200025831,1.00322200025831
"cvd_ihd_90",0.46,1.00329319172975,1.00329319172975
"cvd_ihd_90",0.47,1.00336436548437,1.00336436548437
"cvd_ihd_90",0.48,1.00343552152507,1.00343552152507
"cvd_ihd_90",0.49,1.00350665985477,1.00350665985477
"cvd_ihd_90",0.5,1.00357778047637,1.00357778047637
"cvd_ihd_90",0.51,1.00364888339277,1.00364888339277
"cvd_ihd_90",0.52,1.0037199686069,1.0037199686069
"cvd_ihd_90",0.53,1.00379103612164,1.00379103612164
"cvd_ihd_90",0.54,1.00386208593991,1.00386208593991
"cvd_ihd_90",0.55,1.00393311806462,1.00393311806462
"cvd_ihd_90",0.56,1.00400413249868,1.00400413249868
"cvd_ihd_90",0.57,1.00407512924498,1.00407512924498
"cvd_ihd_90",0.58,1.00414610830644,1.00414610830644
"cvd_ihd_90",0.59,1.00421706968596,1.00421706968596
"cvd_ihd_90",0.6,1.00428801338645,1.00428801338645
"cvd_ihd_90",0.61,1.00435893941082,1.00435893941082
"cvd_ihd_90",0.62,1.00442984776197,1.00442984776197
"cvd_ihd_90",0.63,1.00450073844282,1.00450073844282
"cvd_ihd_90",0.64,1.00457161145626,1.00457161145626
"cvd_ihd_90",0.65,1.00464246680521,1.00464246680521
"cvd_ihd_90",0.66,1.00471330449257,1.00471330449257
"cvd_ihd_90",0.67,1.00478412452125,1.00478412452125
"cvd_ihd_90",0.68,1.00485492689415,1.00485492689415
"cvd_ihd_90",0.69,1.00492571161419,1.00492571161419
"cvd_ihd_90",0.7,1.00499647868427,1.00499647868427
"cvd_ihd_90",0.71,1.00506722810729,1.00506722810729
"cvd_ihd_90",0.72,1.00513795988616,1.00513795988616
"cvd_ihd_90",0.73,1.0052086740238,1.0052086740238
"cvd_ihd_90",0.74,1.0052793705231,1.0052793705231
"cvd_ihd_90",0.75,1.00535004938698,1.00535004938698
"cvd_ihd_90",0.76,1.00542071061834,1.00542071061834
"cvd_ihd_90",0.77,1.00549135422009,1.00549135422009
"cvd_ihd_90",0.78,1.00556198019513,1.00556198019513
"cvd_ihd_90",0.79,1.00563258854637,1.00563258854637
"cvd_ihd_90",0.8,1.00570317927672,1.00570317927672
"cvd_ihd_90",0.81,1.00577375238909,1.00577375238909
"cvd_ihd_90",0.82,1.00584430788638,1.00584430788638
"cvd_ihd_90",0.83,1.0059148457715,1.0059148457715
"cvd_ihd_90",0.84,1.00598536604736,1.00598536604736
"cvd_ihd_90",0.85,1.00605586871686,1.00605586871686
"cvd_ihd_90",0.86,1.0061263537829,1.0061263537829
"cvd_ihd_90",0.87,1.00619682124841,1.00619682124841
"cvd_ihd_90",0.88,1.00626727111628,1.00626727111628
"cvd_ihd_90",0.89,1.00633770338942,1.00633770338942
"cvd_ihd_90",0.9,1.00640811807074,1.00640811807074
"cvd_ihd_90",0.91,1.00647851516314,1.00647851516314
"cvd_ihd_90",0.92,1.00654889466954,1.00654889466954
"cvd_ihd_90",0.93,1.00661925659283,1.00661925659283
"cvd_ihd_90",0.94,1.00668960093593,1.00668960093593
"cvd_ihd_90",0.95,1.00675992770174,1.00675992770174
"cvd_ihd_90",0.96,1.00683023689317,1.00683023689317
"cvd_ihd_90",0.97,1.00690052851313,1.00690052851313
"cvd_ihd_90",0.98,1.00697080256452,1.00697080256452
"cvd_ihd_90",0.99,1.00704105905024,1.00704105905024
"cvd_ihd_90",1,1.00711129797322,1.00711129797322
"cvd_ihd_90",1.1,1.00781272189108,1.00781272189108
"cvd_ihd_90",1.2,1.00851239273124,1.00851239273124
"cvd_ihd_90",1.3,1.00921031340059,1.00921031340059
"cvd_ihd_90",1.4,1.00990648680607,1.00990648680607
"cvd_ihd_90",1.5,1.01060091585457,1.01060091585457
"cvd_ihd_90",1.6,1.01129360345301,1.01129360345301
"cvd_ihd_90",1.7,1.0119845525083,1.0119845525083
"cvd_ihd_90",1.8,1.01267376592736,1.01267376592736
"cvd_ihd_90",1.9,1.0133612466171,1.0133612466171
"cvd_ihd_90",2,1.01404699748442,1.01404699748442
"cvd_ihd_90",2.1,1.01473102143624,1.01473102143624
"cvd_ihd_90",2.2,1.01541332137948,1.01541332137948
"cvd_ihd_90",2.3,1.01609390022104,1.01609390022104
"cvd_ihd_90",2.4,1.01677276086783,1.01677276086783
"cvd_ihd_90",2.5,1.01744990622678,1.01744990622678
"cvd_ihd_90",2.6,1.01812533920478,1.01812533920478
"cvd_ihd_90",2.7,1.01879906270876,1.01879906270876
"cvd_ihd_90",2.8,1.01947107964562,1.01947107964562
"cvd_ihd_90",2.9,1.02014139292228,1.02014139292228
"cvd_ihd_90",3,1.02081000544565,1.02081000544565
"cvd_ihd_90",3.1,1.02147692012263,1.02147692012263
"cvd_ihd_90",3.2,1.02214213986015,1.02214213986015
"cvd_ihd_90",3.3,1.02280566756512,1.02280566756512
"cvd_ihd_90",3.4,1.02346750614444,1.02346750614444
"cvd_ihd_90",3.5,1.02412765850503,1.02412765850503
"cvd_ihd_90",3.6,1.02478612755381,1.02478612755381
"cvd_ihd_90",3.7,1.02544291619767,1.02544291619767
"cvd_ihd_90",3.8,1.02609802734355,1.02609802734355
"cvd_ihd_90",3.9,1.02675146389833,1.02675146389833
"cvd_ihd_90",4,1.02740322876895,1.02740322876895
"cvd_ihd_90",4.1,1.02805332486231,1.02805332486231
"cvd_ihd_90",4.2,1.02870175508532,1.02870175508532
"cvd_ihd_90",4.3,1.0293485223449,1.0293485223449
"cvd_ihd_90",4.4,1.02999362954796,1.02999362954796
"cvd_ihd_90",4.5,1.0306370796014,1.0306370796014
"cvd_ihd_90",4.6,1.03127887541215,1.03127887541215
"cvd_ihd_90",4.7,1.03191901988711,1.03191901988711
"cvd_ihd_90",4.8,1.03255751593319,1.03255751593319
"cvd_ihd_90",4.9,1.03319436645731,1.03319436645731
"cvd_ihd_90",5,1.03382957436639,1.03382957436639
"cvd_ihd_90",5.1,1.03446314256732,1.03446314256732
"cvd_ihd_90",5.2,1.03509507396703,1.03509507396703
"cvd_ihd_90",5.3,1.03572537147243,1.03572537147243
"cvd_ihd_90",5.4,1.03635403799042,1.03635403799042
"cvd_ihd_90",5.5,1.03698107642792,1.03698107642792
"cvd_ihd_90",5.6,1.03760648969185,1.03760648969185
"cvd_ihd_90",5.7,1.03823028068911,1.03823028068911
"cvd_ihd_90",5.8,1.03885245232661,1.03885245232661
"cvd_ihd_90",5.9,1.03947300751127,1.03947300751127
"cvd_ihd_90",6,1.04009194915001,1.04009194915001
"cvd_ihd_90",6.1,1.04070928014972,1.04070928014972
"cvd_ihd_90",6.2,1.04132500341733,1.04132500341733
"cvd_ihd_90",6.3,1.04193912185975,1.04193912185975
"cvd_ihd_90",6.4,1.04255163838389,1.04255163838389
"cvd_ihd_90",6.5,1.04316255589665,1.04316255589665
"cvd_ihd_90",6.6,1.04377187730496,1.04377187730496
"cvd_ihd_90",6.7,1.04437960551572,1.04437960551572
"cvd_ihd_90",6.8,1.04498574343585,1.04498574343585
"cvd_ihd_90",6.9,1.04559029397226,1.04559029397226
"cvd_ihd_90",7,1.04619326003186,1.04619326003186
"cvd_ihd_90",7.1,1.04679464452156,1.04679464452156
"cvd_ihd_90",7.2,1.04739445034828,1.04739445034828
"cvd_ihd_90",7.3,1.04799268041892,1.04799268041892
"cvd_ihd_90",7.4,1.04858933764041,1.04858933764041
"cvd_ihd_90",7.5,1.04918442491964,1.04918442491964
"cvd_ihd_90",7.6,1.04977794516354,1.04977794516354
"cvd_ihd_90",7.7,1.05036990127901,1.05036990127901
"cvd_ihd_90",7.8,1.05096029617297,1.05096029617297
"cvd_ihd_90",7.9,1.05154913275233,1.05154913275233
"cvd_ihd_90",8,1.052136413924,1.052136413924
"cvd_ihd_90",8.1,1.05272214259489,1.05272214259489
"cvd_ihd_90",8.2,1.05330632167192,1.05330632167192
"cvd_ihd_90",8.3,1.053888954062,1.053888954062
"cvd_ihd_90",8.4,1.05447004267204,1.05447004267204
"cvd_ihd_90",8.5,1.05504959040894,1.05504959040894
"cvd_ihd_90",8.6,1.05562760017963,1.05562760017963
"cvd_ihd_90",8.7,1.05620407489102,1.05620407489102
"cvd_ihd_90",8.8,1.05677901745002,1.05677901745002
"cvd_ihd_90",8.9,1.05735243076353,1.05735243076353
"cvd_ihd_90",9,1.05792431773848,1.05792431773848
"cvd_ihd_90",9.1,1.05849468128177,1.05849468128177
"cvd_ihd_90",9.2,1.05906352430031,1.05906352430031
"cvd_ihd_90",9.3,1.05963084970103,1.05963084970103
"cvd_ihd_90",9.4,1.06019666039082,1.06019666039082
"cvd_ihd_90",9.5,1.06076095927661,1.06076095927661
"cvd_ihd_90",9.6,1.0613237492653,1.0613237492653
"cvd_ihd_90",9.7,1.0618850332638,1.0618850332638
"cvd_ihd_90",9.8,1.06244481417904,1.06244481417904
"cvd_ihd_90",9.9,1.06300309491791,1.06300309491791
"cvd_ihd_90",10,1.06355987838734,1.06355987838734
"cvd_ihd_90",11,1.06904600278265,1.06904600278265
"cvd_ihd_90",12,1.07438559783644,1.07438559783644
"cvd_ihd_90",13,1.07958157046078,1.07958157046078
"cvd_ihd_90",14,1.08463682756771,1.08463682756771
"cvd_ihd_90",15,1.08955427606929,1.08955427606929
"cvd_ihd_90",16,1.09433682287757,1.09433682287757
"cvd_ihd_90",17,1.09898737490459,1.09898737490459
"cvd_ihd_90",18,1.10350883906242,1.10350883906242
"cvd_ihd_90",19,1.10790412226309,1.10790412226309
"cvd_ihd_90",20,1.11217613141867,1.11217613141867
"cvd_ihd_90",21,1.11632777344121,1.11632777344121
"cvd_ihd_90",22,1.12036195524275,1.12036195524275
"cvd_ihd_90",23,1.12428158373535,1.12428158373535
"cvd_ihd_90",24,1.12808956583105,1.12808956583105
"cvd_ihd_90",24.9999999999999,1.13178880844192,1.13178880844192
"cvd_ihd_90",25.9999999999999,1.13538221848,1.13538221848
"cvd_ihd_90",26.9999999999999,1.13887270285734,1.13887270285734
"cvd_ihd_90",27.9999999999999,1.142263168486,1.142263168486
"cvd_ihd_90",28.9999999999999,1.14555652227802,1.14555652227802
"cvd_ihd_90",29.9999999999999,1.14875567114546,1.14875567114546
"cvd_ihd_90",30.9999999999999,1.15186352200037,1.15186352200037
"cvd_ihd_90",31.9999999999999,1.15488298175481,1.15488298175481
"cvd_ihd_90",32.9999999999999,1.15781695732081,1.15781695732081
"cvd_ihd_90",33.9999999999999,1.1606683556051,1.1606683556051
"cvd_ihd_90",34.9999999999999,1.16344008023772,1.16344008023772
"cvd_ihd_90",35.9999999999999,1.16613501868867,1.16613501868867
"cvd_ihd_90",36.9999999999999,1.16875603689944,1.16875603689944
"cvd_ihd_90",37.9999999999999,1.17130597440656,1.17130597440656
"cvd_ihd_90",38.9999999999999,1.17378762718904,1.17378762718904
"cvd_ihd_90",39.9999999999999,1.17620370853711,1.17620370853711
"cvd_ihd_90",40.9999999999999,1.17855679314554,1.17855679314554
"cvd_ihd_90",41.9999999999999,1.18084938220237,1.18084938220237
"cvd_ihd_90",42.9999999999999,1.18308395754573,1.18308395754573
