"label","exposure_spline","mean","rr"
"cvd_stroke_65",0,1,1
"cvd_stroke_65",0.01,1.00017291525655,1.00017291525655
"cvd_stroke_65",0.02,1.00034580705077,1.00034580705077
"cvd_stroke_65",0.03,1.00051867538641,1.00051867538641
"cvd_stroke_65",0.04,1.00069152026725,1.00069152026725
"cvd_stroke_65",0.05,1.00086434169705,1.00086434169705
"cvd_stroke_65",0.06,1.00103713967957,1.00103713967957
"cvd_stroke_65",0.07,1.00120991421859,1.00120991421859
"cvd_stroke_65",0.08,1.00138266531787,1.00138266531787
"cvd_stroke_65",0.09,1.00155539298117,1.00155539298117
"cvd_stroke_65",0.1,1.00172809721227,1.00172809721227
"cvd_stroke_65",0.11,1.00190077801492,1.00190077801492
"cvd_stroke_65",0.12,1.0020734353929,1.0020734353929
"cvd_stroke_65",0.13,1.00224606934997,1.00224606934997
"cvd_stroke_65",0.14,1.00241867988989,1.00241867988989
"cvd_stroke_65",0.15,1.00259126701644,1.00259126701644
"cvd_stroke_65",0.16,1.00276383073337,1.00276383073337
"cvd_stroke_65",0.17,1.00293637104446,1.00293637104446
"cvd_stroke_65",0.18,1.00310888795347,1.00310888795347
"cvd_stroke_65",0.19,1.00328138146417,1.00328138146417
"cvd_stroke_65",0.2,1.00345385158033,1.00345385158033
"cvd_stroke_65",0.21,1.0036262983057,1.0036262983057
"cvd_stroke_65",0.22,1.00379872164406,1.00379872164406
"cvd_stroke_65",0.23,1.00397112159917,1.00397112159917
"cvd_stroke_65",0.24,1.0041434981748,1.0041434981748
"cvd_stroke_65",0.25,1.00431585137472,1.00431585137472
"cvd_stroke_65",0.26,1.00448818120268,1.00448818120268
"cvd_stroke_65",0.27,1.00466048766247,1.00466048766247
"cvd_stroke_65",0.28,1.00483277075783,1.00483277075783
"cvd_stroke_65",0.29,1.00500503049255,1.00500503049255
"cvd_stroke_65",0.3,1.00517726687038,1.00517726687038
"cvd_stroke_65",0.31,1.0053494798951,1.0053494798951
"cvd_stroke_65",0.32,1.00552166957046,1.00552166957046
"cvd_stroke_65",0.33,1.00569383590024,1.00569383590024
"cvd_stroke_65",0.34,1.0058659788882,1.0058659788882
"cvd_stroke_65",0.35,1.0060380985381,1.0060380985381
"cvd_stroke_65",0.36,1.00621019485372,1.00621019485372
"cvd_stroke_65",0.37,1.00638226783882,1.00638226783882
"cvd_stroke_65",0.38,1.00655431749716,1.00655431749716
"cvd_stroke_65",0.39,1.00672634383252,1.00672634383252
"cvd_stroke_65",0.4,1.00689834684865,1.00689834684865
"cvd_stroke_65",0.41,1.00707032654933,1.00707032654933
"cvd_stroke_65",0.42,1.00724228293832,1.00724228293832
"cvd_stroke_65",0.43,1.00741421601938,1.00741421601938
"cvd_stroke_65",0.44,1.00758612579629,1.00758612579629
"cvd_stroke_65",0.45,1.00775801227281,1.00775801227281
"cvd_stroke_65",0.46,1.0079298754527,1.0079298754527
"cvd_stroke_65",0.47,1.00810171533973,1.00810171533973
"cvd_stroke_65",0.48,1.00827353193768,1.00827353193768
"cvd_stroke_65",0.49,1.00844532525029,1.00844532525029
"cvd_stroke_65",0.5,1.00861709528135,1.00861709528135
"cvd_stroke_65",0.51,1.00878884203461,1.00878884203461
"cvd_stroke_65",0.52,1.00896056551384,1.00896056551384
"cvd_stroke_65",0.53,1.00913226572281,1.00913226572281
"cvd_stroke_65",0.54,1.00930394266529,1.00930394266529
"cvd_stroke_65",0.55,1.00947559634504,1.00947559634504
"cvd_stroke_65",0.56,1.00964722676583,1.00964722676583
"cvd_stroke_65",0.57,1.00981883393142,1.00981883393142
"cvd_stroke_65",0.58,1.00999041784558,1.00999041784558
"cvd_stroke_65",0.59,1.01016197851207,1.01016197851207
"cvd_stroke_65",0.6,1.01033351593467,1.01033351593467
"cvd_stroke_65",0.61,1.01050503011714,1.01050503011714
"cvd_stroke_65",0.62,1.01067652106324,1.01067652106324
"cvd_stroke_65",0.63,1.01084798877674,1.01084798877674
"cvd_stroke_65",0.64,1.01101943326141,1.01101943326141
"cvd_stroke_65",0.65,1.01119085452101,1.01119085452101
"cvd_stroke_65",0.66,1.01136225255931,1.01136225255931
"cvd_stroke_65",0.67,1.01153362738008,1.01153362738008
"cvd_stroke_65",0.68,1.01170497898708,1.01170497898708
"cvd_stroke_65",0.69,1.01187630738408,1.01187630738408
"cvd_stroke_65",0.7,1.01204761257484,1.01204761257484
"cvd_stroke_65",0.71,1.01221889456313,1.01221889456313
"cvd_stroke_65",0.72,1.01239015335272,1.01239015335272
"cvd_stroke_65",0.73,1.01256138894738,1.01256138894738
"cvd_stroke_65",0.74,1.01273260135086,1.01273260135086
"cvd_stroke_65",0.75,1.01290379056693,1.01290379056693
"cvd_stroke_65",0.76,1.01307495659937,1.01307495659937
"cvd_stroke_65",0.77,1.01324609945194,1.01324609945194
"cvd_stroke_65",0.78,1.0134172191284,1.0134172191284
"cvd_stroke_65",0.79,1.01358831563252,1.01358831563252
"cvd_stroke_65",0.8,1.01375938896807,1.01375938896807
"cvd_stroke_65",0.81,1.01393043913881,1.01393043913881
"cvd_stroke_65",0.82,1.01410146614851,1.01410146614851
"cvd_stroke_65",0.83,1.01427247000093,1.01427247000093
"cvd_stroke_65",0.84,1.01444345069985,1.01444345069985
"cvd_stroke_65",0.85,1.01461440824902,1.01461440824902
"cvd_stroke_65",0.86,1.01478534265222,1.01478534265222
"cvd_stroke_65",0.87,1.0149562539132,1.0149562539132
"cvd_stroke_65",0.88,1.01512714203574,1.01512714203574
"cvd_stroke_65",0.89,1.01529800702361,1.01529800702361
"cvd_stroke_65",0.9,1.01546884888056,1.01546884888056
"cvd_stroke_65",0.91,1.01563966761037,1.01563966761037
"cvd_stroke_65",0.92,1.0158104632168,1.0158104632168
"cvd_stroke_65",0.93,1.01598123570362,1.01598123570362
"cvd_stroke_65",0.94,1.01615198507459,1.01615198507459
"cvd_stroke_65",0.95,1.01632271133348,1.01632271133348
"cvd_stroke_65",0.96,1.01649341448405,1.01649341448405
"cvd_stroke_65",0.97,1.01666409453008,1.01666409453008
"cvd_stroke_65",0.98,1.01683475147532,1.01683475147532
"cvd_stroke_65",0.99,1.01700538532355,1.01700538532355
"cvd_stroke_65",1,1.01717599607853,1.01717599607853
"cvd_stroke_65",1.1,1.0188808343282,1.0188808343282
"cvd_stroke_65",1.2,1.02058336739576,1.02058336739576
"cvd_stroke_65",1.3,1.02228359904743,1.02228359904743
"cvd_stroke_65",1.4,1.02398153304943,1.02398153304943
"cvd_stroke_65",1.5,1.02567717316797,1.02567717316797
"cvd_stroke_65",1.6,1.02737052316924,1.02737052316924
"cvd_stroke_65",1.7,1.02906158681948,1.02906158681948
"cvd_stroke_65",1.8,1.03075036788488,1.03075036788488
"cvd_stroke_65",1.9,1.03243687013166,1.03243687013166
"cvd_stroke_65",2,1.03412109732604,1.03412109732604
"cvd_stroke_65",2.1,1.03580305323421,1.03580305323421
"cvd_stroke_65",2.2,1.0374827416224,1.0374827416224
"cvd_stroke_65",2.3,1.03916016625681,1.03916016625681
"cvd_stroke_65",2.4,1.04083533090365,1.04083533090365
"cvd_stroke_65",2.5,1.04250823932914,1.04250823932914
"cvd_stroke_65",2.6,1.04417889529949,1.04417889529949
"cvd_stroke_65",2.7,1.04584730258091,1.04584730258091
"cvd_stroke_65",2.8,1.04751346493961,1.04751346493961
"cvd_stroke_65",2.9,1.04917738614179,1.04917738614179
"cvd_stroke_65",3,1.05083906995368,1.05083906995368
"cvd_stroke_65",3.1,1.05249852014149,1.05249852014149
"cvd_stroke_65",3.2,1.05415574047142,1.05415574047142
"cvd_stroke_65",3.3,1.05581073470968,1.05581073470968
"cvd_stroke_65",3.4,1.05746350662249,1.05746350662249
"cvd_stroke_65",3.5,1.05911405997606,1.05911405997606
"cvd_stroke_65",3.6,1.0607623985366,1.0607623985366
"cvd_stroke_65",3.7,1.06240852607031,1.06240852607031
"cvd_stroke_65",3.8,1.06405244634342,1.06405244634342
"cvd_stroke_65",3.9,1.06569416312214,1.06569416312214
"cvd_stroke_65",4,1.06733368017266,1.06733368017266
"cvd_stroke_65",4.1,1.06897100126121,1.06897100126121
"cvd_stroke_65",4.2,1.070606130154,1.070606130154
"cvd_stroke_65",4.3,1.07223907061724,1.07223907061724
"cvd_stroke_65",4.4,1.07386982641713,1.07386982641713
"cvd_stroke_65",4.5,1.0754984013199,1.0754984013199
"cvd_stroke_65",4.6,1.07712479909174,1.07712479909174
"cvd_stroke_65",4.7,1.07874902349888,1.07874902349888
"cvd_stroke_65",4.8,1.08037107830752,1.08037107830752
"cvd_stroke_65",4.9,1.08199096728387,1.08199096728387
"cvd_stroke_65",5,1.08360869419415,1.08360869419415
"cvd_stroke_65",5.1,1.08522426280457,1.08522426280457
"cvd_stroke_65",5.2,1.08683767688134,1.08683767688134
"cvd_stroke_65",5.3,1.08844894019066,1.08844894019066
"cvd_stroke_65",5.4,1.09005805649876,1.09005805649876
"cvd_stroke_65",5.5,1.09166502957184,1.09166502957184
"cvd_stroke_65",5.6,1.09326986317611,1.09326986317611
