"label","exposure_spline","mean","rr"
"lbw",0,1,1
"lbw",0.01,1.00011035771607,1.00011035771607
"lbw",0.02,1.00022057839436,1.00022057839436
"lbw",0.03,1.00033066214579,1.00033066214579
"lbw",0.04,1.00044060908128,1.00044060908128
"lbw",0.05,1.00055041931176,1.00055041931176
"lbw",0.06,1.00066009294815,1.00066009294815
"lbw",0.07,1.00076963010138,1.00076963010138
"lbw",0.08,1.00087903088237,1.00087903088237
"lbw",0.09,1.00098829540204,1.00098829540204
"lbw",0.1,1.00109742377132,1.00109742377132
"lbw",0.11,1.00120641610113,1.00120641610113
"lbw",0.12,1.00131527250239,1.00131527250239
"lbw",0.13,1.00142399308604,1.00142399308604
"lbw",0.14,1.00153257796299,1.00153257796299
"lbw",0.15,1.00164102724417,1.00164102724417
"lbw",0.16,1.00174934104049,1.00174934104049
"lbw",0.17,1.0018575194629,1.0018575194629
"lbw",0.18,1.0019655626223,1.0019655626223
"lbw",0.19,1.00207347062963,1.00207347062963
"lbw",0.2,1.00218124359581,1.00218124359581
"lbw",0.21,1.00228888163175,1.00228888163175
"lbw",0.22,1.00239638484839,1.00239638484839
"lbw",0.23,1.00250375335665,1.00250375335665
"lbw",0.24,1.00261098726746,1.00261098726746
"lbw",0.25,1.00271808669173,1.00271808669173
"lbw",0.26,1.00282505174039,1.00282505174039
"lbw",0.27,1.00293188252437,1.00293188252437
"lbw",0.28,1.00303857915459,1.00303857915459
"lbw",0.29,1.00314514174197,1.00314514174197
"lbw",0.3,1.00325157039744,1.00325157039744
"lbw",0.31,1.00335786523192,1.00335786523192
"lbw",0.32,1.00346402635634,1.00346402635634
"lbw",0.33,1.00357005388161,1.00357005388161
"lbw",0.34,1.00367594791867,1.00367594791867
"lbw",0.35,1.00378170857843,1.00378170857843
"lbw",0.36,1.00388733597183,1.00388733597183
"lbw",0.37,1.00399283020978,1.00399283020978
"lbw",0.38,1.00409819140321,1.00409819140321
"lbw",0.39,1.00420341966304,1.00420341966304
"lbw",0.4,1.0043085151002,1.0043085151002
"lbw",0.41,1.00441347782561,1.00441347782561
"lbw",0.42,1.0045183079502,1.0045183079502
"lbw",0.43,1.00462300558488,1.00462300558488
"lbw",0.44,1.00472757084059,1.00472757084059
"lbw",0.45,1.00483200382825,1.00483200382825
"lbw",0.46,1.00493630465877,1.00493630465877
"lbw",0.47,1.00504047344309,1.00504047344309
"lbw",0.48,1.00514451029213,1.00514451029213
"lbw",0.49,1.00524841531681,1.00524841531681
"lbw",0.5,1.00535218862806,1.00535218862806
"lbw",0.51,1.0054558303368,1.0054558303368
"lbw",0.52,1.00555934055396,1.00555934055396
"lbw",0.53,1.00566271939045,1.00566271939045
"lbw",0.54,1.0057659669572,1.0057659669572
"lbw",0.55,1.00586908336515,1.00586908336515
"lbw",0.56,1.0059720687252,1.0059720687252
"lbw",0.57,1.00607492314829,1.00607492314829
"lbw",0.58,1.00617764674533,1.00617764674533
"lbw",0.59,1.00628023962726,1.00628023962726
"lbw",0.6,1.006382701905,1.006382701905
"lbw",0.61,1.00648503368946,1.00648503368946
"lbw",0.62,1.00658723509158,1.00658723509158
"lbw",0.63,1.00668930622228,1.00668930622228
"lbw",0.64,1.00679124719248,1.00679124719248
