"label","exposure_spline","mean","rr"
"neo_lung",0,1,1
"neo_lung",0.01,1.00014198546979,1.00014198546979
"neo_lung",0.02,1.00028394464646,1.00028394464646
"neo_lung",0.03,1.00042587753312,1.00042587753312
"neo_lung",0.04,1.00056778413284,1.00056778413284
"neo_lung",0.05,1.00070966444871,1.00070966444871
"neo_lung",0.06,1.00085151848381,1.00085151848381
"neo_lung",0.07,1.00099334624123,1.00099334624123
"neo_lung",0.08,1.00113514772405,1.00113514772405
"neo_lung",0.09,1.00127692293537,1.00127692293537
"neo_lung",0.1,1.00141867187826,1.00141867187826
"neo_lung",0.11,1.00156039455582,1.00156039455582
"neo_lung",0.12,1.00170209097112,1.00170209097112
"neo_lung",0.13,1.00184376112726,1.00184376112726
"neo_lung",0.14,1.00198540502731,1.00198540502731
"neo_lung",0.15,1.00212702267437,1.00212702267437
"neo_lung",0.16,1.00226861407151,1.00226861407151
"neo_lung",0.17,1.00241017922184,1.00241017922184
"neo_lung",0.18,1.00255171812842,1.00255171812842
"neo_lung",0.19,1.00269323079435,1.00269323079435
"neo_lung",0.2,1.00283471722271,1.00283471722271
"neo_lung",0.21,1.00297617741658,1.00297617741658
"neo_lung",0.22,1.00311761137906,1.00311761137906
"neo_lung",0.23,1.00325901911323,1.00325901911323
"neo_lung",0.24,1.00340040062217,1.00340040062217
"neo_lung",0.25,1.00354175590897,1.00354175590897
"neo_lung",0.26,1.00368308497671,1.00368308497671
"neo_lung",0.27,1.00382438782849,1.00382438782849
"neo_lung",0.28,1.00396566446738,1.00396566446738
"neo_lung",0.29,1.00410691489647,1.00410691489647
"neo_lung",0.3,1.00424813911885,1.00424813911885
"neo_lung",0.31,1.0043893371376,1.0043893371376
"neo_lung",0.32,1.00453050895581,1.00453050895581
"neo_lung",0.33,1.00467165457657,1.00467165457657
"neo_lung",0.34,1.00481277400295,1.00481277400295
"neo_lung",0.35,1.00495386723804,1.00495386723804
"neo_lung",0.36,1.00509493428494,1.00509493428494
"neo_lung",0.37,1.00523597514672,1.00523597514672
"neo_lung",0.38,1.00537698982647,1.00537698982647
"neo_lung",0.39,1.00551797832728,1.00551797832728
"neo_lung",0.4,1.00565894065223,1.00565894065223
"neo_lung",0.41,1.00579987680441,1.00579987680441
"neo_lung",0.42,1.0059407867869,1.0059407867869
"neo_lung",0.43,1.0060816706028,1.0060816706028
"neo_lung",0.44,1.00622252825517,1.00622252825517
"neo_lung",0.45,1.00636335974711,1.00636335974711
"neo_lung",0.46,1.00650416508172,1.00650416508172
"neo_lung",0.47,1.00664494426206,1.00664494426206
"neo_lung",0.48,1.00678569729122,1.00678569729122
"neo_lung",0.49,1.0069264241723,1.0069264241723
"neo_lung",0.5,1.00706712490838,1.00706712490838
"neo_lung",0.51,1.00720779950254,1.00720779950254
"neo_lung",0.52,1.00734844795787,1.00734844795787
"neo_lung",0.53,1.00748907027745,1.00748907027745
"neo_lung",0.54,1.00762966646437,1.00762966646437
"neo_lung",0.55,1.00777023652172,1.00777023652172
"neo_lung",0.56,1.00791078045257,1.00791078045257
"neo_lung",0.57,1.00805129826003,1.00805129826003
"neo_lung",0.58,1.00819178994716,1.00819178994716
"neo_lung",0.59,1.00833225551706,1.00833225551706
"neo_lung",0.6,1.00847269497282,1.00847269497282
"neo_lung",0.61,1.00861310831751,1.00861310831751
"neo_lung",0.62,1.00875349555423,1.00875349555423
"neo_lung",0.63,1.00889385668605,1.00889385668605
"neo_lung",0.64,1.00903419171607,1.00903419171607
"neo_lung",0.65,1.00917450064737,1.00917450064737
"neo_lung",0.66,1.00931478348304,1.00931478348304
"neo_lung",0.67,1.00945504022616,1.00945504022616
"neo_lung",0.68,1.00959527087981,1.00959527087981
"neo_lung",0.69,1.00973547544709,1.00973547544709
"neo_lung",0.7,1.00987565393108,1.00987565393108
"neo_lung",0.71,1.01001580633486,1.01001580633486
"neo_lung",0.72,1.01015593266151,1.01015593266151
"neo_lung",0.73,1.01029603291414,1.01029603291414
"neo_lung",0.74,1.01043610709581,1.01043610709581
"neo_lung",0.75,1.01057615520962,1.01057615520962
"neo_lung",0.76,1.01071617725865,1.01071617725865
"neo_lung",0.77,1.01085617324598,1.01085617324598
"neo_lung",0.78,1.01099614317471,1.01099614317471
"neo_lung",0.79,1.01113608704792,1.01113608704792
"neo_lung",0.8,1.01127600486869,1.01127600486869
"neo_lung",0.81,1.01141589664011,1.01141589664011
"neo_lung",0.82,1.01155576236526,1.01155576236526
"neo_lung",0.83,1.01169560204723,1.01169560204723
"neo_lung",0.84,1.01183541568911,1.01183541568911
"neo_lung",0.85,1.01197520329398,1.01197520329398
"neo_lung",0.86,1.01211496486492,1.01211496486492
"neo_lung",0.87,1.01225470040503,1.01225470040503
"neo_lung",0.88,1.01239440991739,1.01239440991739
"neo_lung",0.89,1.01253409340507,1.01253409340507
"neo_lung",0.9,1.01267375087118,1.01267375087118
"neo_lung",0.91,1.01281338231879,1.01281338231879
"neo_lung",0.92,1.01295298775099,1.01295298775099
"neo_lung",0.93,1.01309256717087,1.01309256717087
"neo_lung",0.94,1.0132321205815,1.0132321205815
"neo_lung",0.95,1.01337164798598,1.01337164798598
"neo_lung",0.96,1.0135111493874,1.0135111493874
"neo_lung",0.97,1.01365062478883,1.01365062478883
"neo_lung",0.98,1.01379007419336,1.01379007419336
"neo_lung",0.99,1.01392949760409,1.01392949760409
"neo_lung",1,1.01406889502408,1.01406889502408
"neo_lung",1.1,1.01546144041292,1.01546144041292
"neo_lung",1.2,1.01685139012323,1.01685139012323
"neo_lung",1.3,1.01823874724053,1.01823874724053
"neo_lung",1.4,1.01962351485036,1.01962351485036
"neo_lung",1.5,1.02100569603825,1.02100569603825
"neo_lung",1.6,1.02238529388972,1.02238529388972
"neo_lung",1.7,1.0237623114903,1.0237623114903
"neo_lung",1.8,1.02513675192553,1.02513675192553
"neo_lung",1.9,1.02650861828092,1.02650861828092
"neo_lung",2,1.02787791364202,1.02787791364202
"neo_lung",2.1,1.02924464109435,1.02924464109435
"neo_lung",2.2,1.03060880372344,1.03060880372344
"neo_lung",2.3,1.03197040461481,1.03197040461481
"neo_lung",2.4,1.033329446854,1.033329446854
"neo_lung",2.5,1.03468593352654,1.03468593352654
"neo_lung",2.6,1.03603986771795,1.03603986771795
"neo_lung",2.7,1.03739125251377,1.03739125251377
"neo_lung",2.8,1.03874009099952,1.03874009099952
"neo_lung",2.9,1.04008638626074,1.04008638626074
"neo_lung",3,1.04143014138294,1.04143014138294
"neo_lung",3.1,1.04277135945167,1.04277135945167
"neo_lung",3.2,1.04411004355245,1.04411004355245
"neo_lung",3.3,1.04544619677081,1.04544619677081
"neo_lung",3.4,1.04677982219227,1.04677982219227
"neo_lung",3.5,1.04811092290237,1.04811092290237
"neo_lung",3.6,1.04943950198664,1.04943950198664
"neo_lung",3.7,1.05076556253061,1.05076556253061
"neo_lung",3.8,1.0520891076198,1.0520891076198
"neo_lung",3.9,1.05341014033974,1.05341014033974
"neo_lung",4,1.05472866377597,1.05472866377597
"neo_lung",4.1,1.05604468101401,1.05604468101401
"neo_lung",4.2,1.05735819513939,1.05735819513939
"neo_lung",4.3,1.05866920923764,1.05866920923764
"neo_lung",4.4,1.0599777263943,1.0599777263943
"neo_lung",4.5,1.06128374969488,1.06128374969488
"neo_lung",4.6,1.06258728222491,1.06258728222491
"neo_lung",4.7,1.06388832706994,1.06388832706994
"neo_lung",4.8,1.06518688731548,1.06518688731548
"neo_lung",4.9,1.06648296604707,1.06648296604707
