"label","exposure_spline","mean","rr"
"ptb",0,1,1
"ptb",0.01,1.00007287561285,1.00007287561285
"ptb",0.02,1.0001457325705,1.0001457325705
"ptb",0.03,1.00021857087868,1.00021857087868
"ptb",0.04,1.00029139054313,1.00029139054313
"ptb",0.05,1.00036419156958,1.00036419156958
"ptb",0.06,1.00043697396374,1.00043697396374
"ptb",0.07,1.00050973773136,1.00050973773136
"ptb",0.08,1.00058248287816,1.00058248287816
"ptb",0.09,1.00065520940988,1.00065520940988
"ptb",0.1,1.00072791733224,1.00072791733224
"ptb",0.11,1.00080060665098,1.00080060665098
"ptb",0.12,1.00087327737182,1.00087327737182
"ptb",0.13,1.00094592950049,1.00094592950049
"ptb",0.14,1.00101856304273,1.00101856304273
"ptb",0.15,1.00109117800426,1.00109117800426
"ptb",0.16,1.00116377439082,1.00116377439082
"ptb",0.17,1.00123635220813,1.00123635220813
"ptb",0.18,1.00130891146193,1.00130891146193
"ptb",0.19,1.00138145215794,1.00138145215794
"ptb",0.2,1.00145397430189,1.00145397430189
"ptb",0.21,1.00152647789952,1.00152647789952
"ptb",0.22,1.00159896295656,1.00159896295656
"ptb",0.23,1.00167142947873,1.00167142947873
"ptb",0.24,1.00174387747176,1.00174387747176
"ptb",0.25,1.00181630694139,1.00181630694139
"ptb",0.26,1.00188871789334,1.00188871789334
"ptb",0.27,1.00196111033335,1.00196111033335
"ptb",0.28,1.00203348426715,1.00203348426715
"ptb",0.29,1.00210583970046,1.00210583970046
"ptb",0.3,1.00217817663902,1.00217817663902
"ptb",0.31,1.00225049508855,1.00225049508855
"ptb",0.32,1.00232279505479,1.00232279505479
"ptb",0.33,1.00239507654346,1.00239507654346
"ptb",0.34,1.0024673395603,1.0024673395603
"ptb",0.35,1.00253958411103,1.00253958411103
"ptb",0.36,1.0026118102014,1.0026118102014
"ptb",0.37,1.00268401783711,1.00268401783711
"ptb",0.38,1.00275620702392,1.00275620702392
"ptb",0.39,1.00282837776754,1.00282837776754
"ptb",0.4,1.0029005300737,1.0029005300737
"ptb",0.41,1.00297266394814,1.00297266394814
"ptb",0.42,1.00304477939659,1.00304477939659
"ptb",0.43,1.00311687642478,1.00311687642478
"ptb",0.44,1.00318895503843,1.00318895503843
"ptb",0.45,1.00326101524327,1.00326101524327
"ptb",0.46,1.00333305704505,1.00333305704505
"ptb",0.47,1.00340508044948,1.00340508044948
"ptb",0.48,1.0034770854623,1.0034770854623
"ptb",0.49,1.00354907208923,1.00354907208923
"ptb",0.5,1.00362104033602,1.00362104033602
"ptb",0.51,1.00369299020837,1.00369299020837
"ptb",0.52,1.00376492171204,1.00376492171204
"ptb",0.53,1.00383683485274,1.00383683485274
"ptb",0.54,1.00390872963622,1.00390872963622
"ptb",0.55,1.00398060606818,1.00398060606818
"ptb",0.56,1.00405246415438,1.00405246415438
"ptb",0.57,1.00412430390053,1.00412430390053
"ptb",0.58,1.00419612531237,1.00419612531237
"ptb",0.59,1.00426792839563,1.00426792839563
"ptb",0.6,1.00433971315604,1.00433971315604
"ptb",0.61,1.00441147959932,1.00441147959932
"ptb",0.62,1.00448322773121,1.00448322773121
"ptb",0.63,1.00455495755744,1.00455495755744
"ptb",0.64,1.00462666908374,1.00462666908374
"ptb",0.65,1.00469836231584,1.00469836231584
"ptb",0.66,1.00477003725946,1.00477003725946
