"COUNTYFP","TRACT","pm","label_cause","age_group_id","rr"
1,20100,16.71,"resp_copd","all ages",1.18374363205913
1,20200,17.19,"resp_copd","all ages",1.18374363205913
1,20300,16.92,"resp_copd","all ages",1.18374363205913
1,20400,16.99,"resp_copd","all ages",1.18374363205913
1,20500,16.56,"resp_copd","all ages",1.18374363205913
1,20600,16.81,"resp_copd","all ages",1.18374363205913
1,20700,16.41,"resp_copd","all ages",1.1734357228231
1,20800,16.38,"resp_copd","all ages",1.1734357228231
1,20900,15.87,"resp_copd","all ages",1.1734357228231
1,21000,16.37,"resp_copd","all ages",1.1734357228231
1,21100,16.61,"resp_copd","all ages",1.18374363205913
3,10100,14.35,"resp_copd","all ages",1.15264304196203
3,10200,14.13,"resp_copd","all ages",1.15264304196203
3,10300,14.24,"resp_copd","all ages",1.15264304196203
3,10400,13.84,"resp_copd","all ages",1.15264304196203
3,10500,14.14,"resp_copd","all ages",1.15264304196203
3,10600,13.98,"resp_copd","all ages",1.15264304196203
3,10701,15.95,"resp_copd","all ages",1.1734357228231
3,10703,13.75,"resp_copd","all ages",1.15264304196203
3,10704,13.74,"resp_copd","all ages",1.15264304196203
3,10705,12.99,"resp_copd","all ages",1.14215672176531
3,10800,12.98,"resp_copd","all ages",1.14215672176531
3,10901,13.59,"resp_copd","all ages",1.15264304196203
3,10902,13.57,"resp_copd","all ages",1.15264304196203
3,11000,13.73,"resp_copd","all ages",1.15264304196203
3,11100,13.31,"resp_copd","all ages",1.14215672176531
3,11201,12.79,"resp_copd","all ages",1.14215672176531
3,11202,11.9,"resp_copd","all ages",1.13160938267669
3,11300,12.26,"resp_copd","all ages",1.13160938267669
3,11401,13.51,"resp_copd","all ages",1.15264304196203
3,11403,13.38,"resp_copd","all ages",1.14215672176531
3,11404,11.21,"resp_copd","all ages",1.12100025041032
3,11500,14.48,"resp_copd","all ages",1.15264304196203
3,11600,12.95,"resp_copd","all ages",1.14215672176531
5,950100,15.3,"resp_copd","all ages",1.16306911755268
5,950200,14.37,"resp_copd","all ages",1.15264304196203
5,950300,14.55,"resp_copd","all ages",1.16306911755268
5,950400,14.9,"resp_copd","all ages",1.16306911755268
5,950500,14.67,"resp_copd","all ages",1.16306911755268
5,950600,14.56,"resp_copd","all ages",1.16306911755268
5,950700,14.56,"resp_copd","all ages",1.16306911755268
5,950800,14.63,"resp_copd","all ages",1.16306911755268
5,950900,15.23,"resp_copd","all ages",1.16306911755268
7,10000,15.75,"resp_copd","all ages",1.1734357228231
7,10100,15.57,"resp_copd","all ages",1.1734357228231
7,10200,16.03,"resp_copd","all ages",1.1734357228231
9,50101,15.29,"resp_copd","all ages",1.16306911755268
9,50102,15.97,"resp_copd","all ages",1.1734357228231
9,50200,16.83,"resp_copd","all ages",1.18374363205913
9,50300,15.94,"resp_copd","all ages",1.1734357228231
9,50400,15.9,"resp_copd","all ages",1.1734357228231
9,50500,16.33,"resp_copd","all ages",1.1734357228231
9,50600,16.74,"resp_copd","all ages",1.18374363205913
9,50700,16.6,"resp_copd","all ages",1.18374363205913
11,952100,15.35,"resp_copd","all ages",1.16306911755268
11,952200,15.6,"resp_copd","all ages",1.1734357228231
11,952300,15.88,"resp_copd","all ages",1.1734357228231
11,952400,14.76,"resp_copd","all ages",1.16306911755268
13,952700,15.14,"resp_copd","all ages",1.16306911755268
13,952800,15.67,"resp_copd","all ages",1.1734357228231
13,952900,15.18,"resp_copd","all ages",1.16306911755268
13,953000,15.12,"resp_copd","all ages",1.16306911755268
13,953100,15.17,"resp_copd","all ages",1.16306911755268
13,953200,15.22,"resp_copd","all ages",1.16306911755268
13,953300,15.08,"resp_copd","all ages",1.16306911755268
13,953400,15.05,"resp_copd","all ages",1.16306911755268
13,953500,15.22,"resp_copd","all ages",1.16306911755268
15,100,16.84,"resp_copd","all ages",1.18374363205913
15,200,16.04,"resp_copd","all ages",1.1734357228231
15,300,17.39,"resp_copd","all ages",1.18374363205913
15,400,16.67,"resp_copd","all ages",1.18374363205913
15,500,17.44,"resp_copd","all ages",1.18374363205913
15,600,16.7,"resp_copd","all ages",1.18374363205913
15,800,17.29,"resp_copd","all ages",1.18374363205913
15,900,15.81,"resp_copd","all ages",1.1734357228231
15,1000,16.73,"resp_copd","all ages",1.18374363205913
15,1100,16.71,"resp_copd","all ages",1.18374363205913
15,1200,16.05,"resp_copd","all ages",1.1734357228231
15,1300,15.51,"resp_copd","all ages",1.1734357228231
15,1400,16.72,"resp_copd","all ages",1.18374363205913
15,1500,16.23,"resp_copd","all ages",1.1734357228231
15,1600,16.78,"resp_copd","all ages",1.18374363205913
15,1700,16.7,"resp_copd","all ages",1.18374363205913
15,1800,16.56,"resp_copd","all ages",1.18374363205913
15,1900,15.08,"resp_copd","all ages",1.16306911755268
15,2000,15.89,"resp_copd","all ages",1.1734357228231
15,2101,17.58,"resp_copd","all ages",1.19399361954659
15,2102,16.36,"resp_copd","all ages",1.1734357228231
15,2103,16.97,"resp_copd","all ages",1.18374363205913
15,2200,16.27,"resp_copd","all ages",1.1734357228231
15,2300,17.06,"resp_copd","all ages",1.18374363205913
15,2400,16.99,"resp_copd","all ages",1.18374363205913
15,2501,17.02,"resp_copd","all ages",1.18374363205913
15,2502,16.9,"resp_copd","all ages",1.18374363205913
15,2600,16.09,"resp_copd","all ages",1.1734357228231
17,953800,16.15,"resp_copd","all ages",1.1734357228231
17,953900,15.57,"resp_copd","all ages",1.1734357228231
17,954000,15.44,"resp_copd","all ages",1.16306911755268
17,954200,15.29,"resp_copd","all ages",1.16306911755268
17,954300,15.26,"resp_copd","all ages",1.16306911755268
17,954400,16.1,"resp_copd","all ages",1.1734357228231
17,954500,15.67,"resp_copd","all ages",1.1734357228231
17,954600,16.3,"resp_copd","all ages",1.1734357228231
17,954700,15.54,"resp_copd","all ages",1.1734357228231
19,955700,16.08,"resp_copd","all ages",1.1734357228231
19,955800,16.24,"resp_copd","all ages",1.1734357228231
19,955900,17.11,"resp_copd","all ages",1.18374363205913
19,956000,16.63,"resp_copd","all ages",1.18374363205913
19,956100,16.59,"resp_copd","all ages",1.18374363205913
21,60101,16.07,"resp_copd","all ages",1.1734357228231
21,60102,16.37,"resp_copd","all ages",1.1734357228231
21,60200,16.21,"resp_copd","all ages",1.1734357228231
21,60300,16.68,"resp_copd","all ages",1.18374363205913
21,60401,16.21,"resp_copd","all ages",1.1734357228231
21,60402,16.45,"resp_copd","all ages",1.1734357228231
21,60500,16.33,"resp_copd","all ages",1.1734357228231
21,60600,16.22,"resp_copd","all ages",1.1734357228231
21,60700,15.93,"resp_copd","all ages",1.1734357228231
23,956700,14.42,"resp_copd","all ages",1.15264304196203
23,956800,14.31,"resp_copd","all ages",1.15264304196203
23,956900,14.06,"resp_copd","all ages",1.15264304196203
23,957000,14,"resp_copd","all ages",1.15264304196203
25,957500,14.37,"resp_copd","all ages",1.15264304196203
25,957600,14.51,"resp_copd","all ages",1.16306911755268
25,957700,14.5,"resp_copd","all ages",1.16306911755268
25,957800,14.51,"resp_copd","all ages",1.16306911755268
25,957901,14.6,"resp_copd","all ages",1.16306911755268
25,957902,14.64,"resp_copd","all ages",1.16306911755268
25,958000,14.38,"resp_copd","all ages",1.15264304196203
27,958900,14.9,"resp_copd","all ages",1.16306911755268
27,959000,14.6,"resp_copd","all ages",1.16306911755268
27,959100,15.53,"resp_copd","all ages",1.1734357228231
27,959200,15.05,"resp_copd","all ages",1.16306911755268
29,959500,15.56,"resp_copd","all ages",1.1734357228231
29,959600,15.26,"resp_copd","all ages",1.16306911755268
29,959700,15.39,"resp_copd","all ages",1.16306911755268
29,959800,15.33,"resp_copd","all ages",1.16306911755268
31,10100,15.22,"resp_copd","all ages",1.16306911755268
31,10200,15.22,"resp_copd","all ages",1.16306911755268
31,10300,14.64,"resp_copd","all ages",1.16306911755268
31,10400,14.86,"resp_copd","all ages",1.16306911755268
31,10500,14.87,"resp_copd","all ages",1.16306911755268
31,10600,14.91,"resp_copd","all ages",1.16306911755268
31,10700,14.92,"resp_copd","all ages",1.16306911755268
31,10800,15.07,"resp_copd","all ages",1.16306911755268
31,10900,14.86,"resp_copd","all ages",1.16306911755268
31,11000,14.95,"resp_copd","all ages",1.16306911755268
31,11100,15.65,"resp_copd","all ages",1.1734357228231
31,11201,14.74,"resp_copd","all ages",1.16306911755268
31,11202,15.33,"resp_copd","all ages",1.16306911755268
31,11300,15.12,"resp_copd","all ages",1.16306911755268
33,20100,16.21,"resp_copd","all ages",1.1734357228231
33,20200,17.52,"resp_copd","all ages",1.19399361954659
33,20300,16.67,"resp_copd","all ages",1.18374363205913
33,20400,16.29,"resp_copd","all ages",1.1734357228231
33,20500,16.11,"resp_copd","all ages",1.1734357228231
33,20600,16.65,"resp_copd","all ages",1.18374363205913
33,20701,16.16,"resp_copd","all ages",1.1734357228231
33,20702,17.09,"resp_copd","all ages",1.18374363205913
33,20801,15.79,"resp_copd","all ages",1.1734357228231
33,20802,15.81,"resp_copd","all ages",1.1734357228231
33,20900,14.91,"resp_copd","all ages",1.16306911755268
33,21000,14.24,"resp_copd","all ages",1.15264304196203
35,960200,14.81,"resp_copd","all ages",1.16306911755268
35,960300,14.37,"resp_copd","all ages",1.15264304196203
35,960400,14.81,"resp_copd","all ages",1.16306911755268
35,960500,15.12,"resp_copd","all ages",1.16306911755268
35,960600,15.05,"resp_copd","all ages",1.16306911755268
37,961000,15.36,"resp_copd","all ages",1.16306911755268
37,961100,15.89,"resp_copd","all ages",1.1734357228231
37,961200,15.49,"resp_copd","all ages",1.16306911755268
39,961600,15.06,"resp_copd","all ages",1.16306911755268
39,961700,14.97,"resp_copd","all ages",1.16306911755268
