variable,year,group,gender,gender_label,min_age,max_age,race,hispanic_origin,age_group_id,downloaded,tot_var,ntot_var
P012A005,2000,P012A,Male,M,10,14,WHITE,all,25,TRUE,,
P012A004,2000,P012A,Male,M,5,9,WHITE,all,25,TRUE,,
P012A007,2000,P012A,Male,M,18,19,WHITE,all,25,TRUE,,
P012A006,2000,P012A,Male,M,15,17,WHITE,all,25,TRUE,,
P012A003,2000,P012A,Male,M,0,4,WHITE,all,25,TRUE,,
P012A009,2000,P012A,Male,M,21,21,WHITE,all,25,TRUE,,
P012A008,2000,P012A,Male,M,20,20,WHITE,all,25,TRUE,,
P012A010,2000,P012A,Male,M,22,24,WHITE,all,25,TRUE,,
P012A016,2000,P012A,Male,M,50,54,WHITE,all,55,TRUE,,
P012A015,2000,P012A,Male,M,45,49,WHITE,all,50,TRUE,,
P012A018,2000,P012A,Male,M,60,61,WHITE,all,65,TRUE,,
P012A017,2000,P012A,Male,M,55,59,WHITE,all,60,TRUE,,
P012A012,2000,P012A,Male,M,30,34,WHITE,all,35,TRUE,,
P012A011,2000,P012A,Male,M,25,29,WHITE,all,30,TRUE,,
P012A014,2000,P012A,Male,M,40,44,WHITE,all,45,TRUE,,
P012A013,2000,P012A,Male,M,35,39,WHITE,all,40,TRUE,,
P012A019,2000,P012A,Male,M,62,64,WHITE,all,65,TRUE,,
P012A021,2000,P012A,Male,M,67,69,WHITE,all,70,TRUE,,
P012A020,2000,P012A,Male,M,65,66,WHITE,all,70,TRUE,,
P012A027,2000,P012A,Female,F,0,4,WHITE,all,25,TRUE,,
P012A029,2000,P012A,Female,F,10,14,WHITE,all,25,TRUE,,
P012A028,2000,P012A,Female,F,5,9,WHITE,all,25,TRUE,,
P012A023,2000,P012A,Male,M,75,79,WHITE,all,80,TRUE,,
P012A022,2000,P012A,Male,M,70,74,WHITE,all,75,TRUE,,
P012A025,2000,P012A,Male,M,85,150,WHITE,all,95,TRUE,,
P012A024,2000,P012A,Male,M,80,84,WHITE,all,85,TRUE,,
P012A030,2000,P012A,Female,F,15,17,WHITE,all,25,TRUE,,
P012A032,2000,P012A,Female,F,20,20,WHITE,all,25,TRUE,,
P012A031,2000,P012A,Female,F,18,19,WHITE,all,25,TRUE,,
P012A038,2000,P012A,Female,F,40,44,WHITE,all,45,TRUE,,
P012A037,2000,P012A,Female,F,35,39,WHITE,all,40,TRUE,,
P012A039,2000,P012A,Female,F,45,49,WHITE,all,50,TRUE,,
P012A034,2000,P012A,Female,F,22,24,WHITE,all,25,TRUE,,
P012A033,2000,P012A,Female,F,21,21,WHITE,all,25,TRUE,,
P012A036,2000,P012A,Female,F,30,34,WHITE,all,35,TRUE,,
P012A035,2000,P012A,Female,F,25,29,WHITE,all,30,TRUE,,
P012A041,2000,P012A,Female,F,55,59,WHITE,all,60,TRUE,,
P012A040,2000,P012A,Female,F,50,54,WHITE,all,55,TRUE,,
P012A043,2000,P012A,Female,F,62,64,WHITE,all,65,TRUE,,
P012A042,2000,P012A,Female,F,60,61,WHITE,all,65,TRUE,,
P012A049,2000,P012A,Female,F,85,150,WHITE,all,95,TRUE,,
P012A048,2000,P012A,Female,F,80,84,WHITE,all,85,TRUE,,
P012A045,2000,P012A,Female,F,67,69,WHITE,all,70,TRUE,,
P012A044,2000,P012A,Female,F,65,66,WHITE,all,70,TRUE,,
P012A047,2000,P012A,Female,F,75,79,WHITE,all,80,TRUE,,
P012A046,2000,P012A,Female,F,70,74,WHITE,all,75,TRUE,,
P012B006,2000,P012B,Male,M,15,17,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B005,2000,P012B,Male,M,10,14,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B008,2000,P012B,Male,M,20,20,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B007,2000,P012B,Male,M,18,19,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B004,2000,P012B,Male,M,5,9,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B003,2000,P012B,Male,M,0,4,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B009,2000,P012B,Male,M,21,21,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B011,2000,P012B,Male,M,25,29,BLACK OR AFRICAN AMERICAN,all,30,TRUE,,
P012B010,2000,P012B,Male,M,22,24,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B017,2000,P012B,Male,M,55,59,BLACK OR AFRICAN AMERICAN,all,60,TRUE,,
P012B016,2000,P012B,Male,M,50,54,BLACK OR AFRICAN AMERICAN,all,55,TRUE,,
P012B019,2000,P012B,Male,M,62,64,BLACK OR AFRICAN AMERICAN,all,65,TRUE,,
P012B018,2000,P012B,Male,M,60,61,BLACK OR AFRICAN AMERICAN,all,65,TRUE,,
P012B013,2000,P012B,Male,M,35,39,BLACK OR AFRICAN AMERICAN,all,40,TRUE,,
P012B012,2000,P012B,Male,M,30,34,BLACK OR AFRICAN AMERICAN,all,35,TRUE,,
P012B015,2000,P012B,Male,M,45,49,BLACK OR AFRICAN AMERICAN,all,50,TRUE,,
P012B014,2000,P012B,Male,M,40,44,BLACK OR AFRICAN AMERICAN,all,45,TRUE,,
P012B020,2000,P012B,Male,M,65,66,BLACK OR AFRICAN AMERICAN,all,70,TRUE,,
P012B022,2000,P012B,Male,M,70,74,BLACK OR AFRICAN AMERICAN,all,75,TRUE,,
P012B021,2000,P012B,Male,M,67,69,BLACK OR AFRICAN AMERICAN,all,70,TRUE,,
P012B028,2000,P012B,Female,F,5,9,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B027,2000,P012B,Female,F,0,4,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
P012B029,2000,P012B,Female,F,10,14,BLACK OR AFRICAN AMERICAN,all,25,TRUE,,
